Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Credit,Subscription,2024-07-01 08:30:45,2024-07-01 09:00:15,Monthly subscription payment,100.00,2.50,USD,Completed,1200.00
Debit,Withdrawal,2024-07-02 10:15:30,2024-07-02 10:45:50,ATM Withdrawal,-200.00,3.00,USD,Completed,1000.00
Credit,Refund,2024-07-03 12:00:00,2024-07-03 12:30:20,Refund from retailer,50.00,0.00,USD,Completed,1050.00
Debit,Purchase,2024-07-04 14:45:10,2024-07-04 15:10:35,Online shopping purchase,-150.00,1.50,USD,Completed,900.00
Credit,Salary,2024-07-05 18:00:00,2024-07-05 18:30:45,Monthly salary deposit,2000.00,0.00,USD,Completed,2900.00
Debit,Transfer,2024-07-06 19:45:30,2024-07-06 20:15:15,Transfer to savings,-500.00,0.00,USD,Completed,2400.00
Credit,Investment,2024-07-07 08:20:30,2024-07-07 08:50:10,Dividend payment,300.00,0.00,USD,Completed,2700.00
Debit,Bill Payment,2024-07-08 11:00:20,2024-07-08 11:25:45,Utility bill payment,-100.00,1.00,USD,Completed,2600.00
Credit,Bonus,2024-07-09 13:10:55,2024-07-09 13:40:35,Performance bonus,500.00,0.00,USD,Completed,3100.00
Debit,Purchase,2024-07-10 16:30:25,2024-07-10 17:00:45,Grocery shopping,-250.00,2.00,USD,Completed,2850.00
Credit,Subscription,2024-07-11 08:30:45,2024-07-11 09:00:15,Monthly subscription payment,100.00,2.50,USD,Completed,2950.00
Debit,Withdrawal,2024-07-12 10:15:30,2024-07-12 10:45:50,ATM Withdrawal,-200.00,3.00,USD,Completed,2750.00
Credit,Refund,2024-07-13 12:00:00,2024-07-13 12:30:20,Refund from retailer,50.00,0.00,USD,Completed,2800.00
Debit,Purchase,2024-07-14 14:45:10,2024-07-14 15:10:35,Online shopping purchase,-150.00,1.50,USD,Completed,2650.00
Credit,Salary,2024-07-15 18:00:00,2024-07-15 18:30:45,Monthly salary deposit,2000.00,0.00,USD,Completed,4650.00
Debit,Transfer,2024-07-16 19:45:30,2024-07-16 20:15:15,Transfer to savings,-500.00,0.00,USD,Completed,4150.00
Credit,Investment,2024-07-17 08:20:30,2024-07-17 08:50:10,Dividend payment,300.00,0.00,USD,Completed,4450.00
Debit,Bill Payment,2024-07-18 11:00:20,2024-07-18 11:25:45,Utility bill payment,-100.00,1.00,USD,Completed,4350.00
Credit,Bonus,2024-07-19 13:10:55,2024-07-19 13:40:35,Performance bonus,500.00,0.00,USD,Completed,4850.00
Debit,Purchase,2024-07-20 16:30:25,2024-07-20 17:00:45,Grocery shopping,-250.00,2.00,USD,Completed,4600.00
Credit,Subscription,2024-07-21 08:30:45,2024-07-21 09:00:15,Monthly subscription payment,100.00,2.50,USD,Completed,4700.00
Debit,Withdrawal,2024-07-22 10:15:30,2024-07-22 10:45:50,ATM Withdrawal,-200.00,3.00,USD,Completed,4500.00
Credit,Refund,2024-07-23 12:00:00,2024-07-23 12:30:20,Refund from retailer,50.00,0.00,USD,Completed,4550.00
Debit,Purchase,2024-07-24 14:45:10,2024-07-24 15:10:35,Online shopping purchase,-150.00,1.50,USD,Completed,4400.00
Credit,Salary,2024-07-25 18:00:00,2024-07-25 18:30:45,Monthly salary deposit,2000.00,0.00,USD,Completed,6400.00
Debit,Transfer,2024-07-26 19:45:30,2024-07-26 20:15:15,Transfer to savings,-500.00,0.00,USD,Completed,5900.00
Credit,Investment,2024-07-27 08:20:30,2024-07-27 08:50:10,Dividend payment,300.00,0.00,USD,Completed,6200.00
Debit,Bill Payment,2024-07-28 11:00:20,2024-07-28 11:25:45,Utility bill payment,-100.00,1.00,USD,Completed,6100.00
Credit,Bonus,2024-07-29 13:10:55,2024-07-29 13:40:35,Performance bonus,500.00,0.00,USD,Completed,6600.00
Debit,Purchase,2024-07-30 16:30:25,2024-07-30 17:00:45,Grocery shopping,-250.00,2.00,USD,Completed,6350.00
Credit,Subscription,2024-07-31 08:30:45,2024-07-31 09:00:15,Monthly subscription payment,100.00,2.50,USD,Completed,6450.00
